dataset,raw_name,harmonized_name,action,timestamp
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991434
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991443
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.991447
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992310
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992318
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992321
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992324
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992327
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992333
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992347
gbd,Jammu & Kashmir and Ladakh,Jammu & Kashmir,RENAMED,2026-04-24T00:04:14.992350
