state_name_harmonized,daly_rate,death_rate,Incidence,Prevalence,yld_rate,yll_rate,z_yld_rate,z_death_rate,hdbi_z,rank_yld,rank_death,hdbi_rank,hdbi_direction,cause_group,year
Gujarat,902.0637959127224,19.031919907654963,3812.15481321458,8325.27253828358,394.7759904252901,507.2878054874255,-0.24187863868534612,0.6383459681526567,-0.8802246068380027,18.0,8.0,10.0,mortality_prominent,falls,2021
Uttarakhand,941.4424549032012,19.34436304092785,4035.03419826702,8337.061547524301,398.83432951028,542.6081253929126,-0.2050397986082004,0.6906720497052251,-0.8957118483134255,16.0,6.0,10.0,mortality_prominent,falls,2021
Andhra Pradesh,1123.1133068568238,25.086276664979547,4258.46942888922,9937.70920161204,462.9048029308101,660.2085039260032,0.3765483522527348,1.6522929290398338,-1.275744576787099,10.0,3.0,7.0,mortality_prominent,falls,2021
Chhattisgarh,819.6465043394205,18.13163717753034,3093.07114589837,6225.32925068693,301.0658572217,518.5806471177193,-1.0925154480794252,0.48757207511361234,-1.5800875231930376,29.0,11.0,18.0,mortality_prominent,falls,2021
Telangana,1269.8239646991806,31.7653216020439,4268.65095298953,9386.35970317726,442.58810953844,827.2358551607313,0.19212723733256754,2.770858878654921,-2.5787316413223533,12.0,1.0,11.0,mortality_prominent,falls,2021
Kerala,453.3524071762141,0.5368339481615392,1.97573373627,317.75480142628,15.04035696266,462.8558445775499,-0.02334165935578769,-1.7178315211646373,1.6944898618088495,16.0,31.0,-15.0,disability_prominent,self_harm,2021
West Bengal,956.7300213299828,18.16167226739437,175.94948611527,550.55252397661,29.17121987159,926.4630094916448,2.021734197494062,0.849682138808597,1.1720520586854648,1.0,7.0,-6.0,disability_prominent,self_harm,2021
Rajasthan,539.2058392151697,0.8250482251100095,74.09837114842,203.15632805923,11.23049703176,527.9753421834041,-0.5747200580337211,-1.6758456555549088,1.1011255975211878,23.0,30.0,-7.0,disability_prominent,self_harm,2021
Other Union Territories,32.19734537947563,14.346201732343507,2.57432788704,448.67862218552006,23.88128183479,772.1952979932688,1.2561528856511217,0.29386014824438034,0.9622927374067414,5.0,12.0,-7.0,disability_prominent,self_harm,2021
Himachal Pradesh,499.09517650621774,9.430592819320395,91.77309342283,333.66610239301,17.6921424743,447.8966272255634,0.3604355071449259,-0.4222254579140983,0.7826609650590242,9.0,20.0,-11.0,disability_prominent,self_harm,2021
Tamil Nadu,997.3141868980734,20.15449175924162,146.04046337272,513.76232790041,27.789322533670003,969.5248643643936,1.8217404037223228,1.1399878525123837,0.6817525512099392,2.0,5.0,-3.0,disability_prominent,self_harm,2021
Sikkim,486.9125576763437,9.062062268179996,94.36984244541,266.6842391262,14.74912729501,472.89311066692886,-0.06548959936113873,-0.47591146666107814,0.4104218672999394,18.0,21.0,-3.0,balanced,self_harm,2021
