state_name_harmonized,cause_group,dalys_n,deaths_n,Incidence,Prevalence,ylds_n,ylls_n,yll_fraction,yld_fraction,yld_yll_ratio
Himachal Pradesh,poisoning,331.47284444708606,4.559667481769079,540.6013360173112,949.1190061792848,85.23003668798148,246.24280775910432,0.7428747539480953,0.25712524605190396,0.34612193332103636
Himachal Pradesh,road,61618.91356537554,1177.4377018892828,1297.088956192185,87139.78100721791,5412.672174945479,21136.336669365475,0.34301702912922266,0.08784108420222017,0.2560837414550878
Himachal Pradesh,self_harm,38469.98649459756,726.9049982309034,7073.820446950534,25718.80285964701,1363.7007811043304,34523.62998368617,0.8974172628975167,0.035448434100590044,0.03950050390844575
Himachal Pradesh,transport_all,66183.36275469179,1261.928574328429,33197.13906445829,95922.56093296169,5959.885437977086,60223.47731671461,0.9099488876068832,0.09005111239311553,0.09896282485705887
Himachal Pradesh,unintentional_all,127579.05933794424,2328.1467410112555,597055.8681130451,1247595.8981954583,55031.07010644176,72547.98923150248,0.5686512316988486,0.43134876830115143,0.7585471449916581
Himachal Pradesh,violence,11298.653869472995,134.78010151696017,20532.91104474826,295878.8017499747,4620.960324181656,6677.693545291337,0.5910167372533915,0.40898326274660823,0.6919994595199788
Jammu & Kashmir and Ladakh,all_injuries,378993.202423724,6148.615929227012,1164009.775777409,2617855.1953765964,106499.4096749253,272493.7927487987,0.7189938790620939,0.28100612093790606,0.39083242447692346
Jammu & Kashmir and Ladakh,burns,9654.849795950364,146.02616996323584,9130.775153747754,84881.8642076271,2723.615696019044,6931.234099931316,0.7179018054572488,0.28209819454275087,0.392948161431459
Jammu & Kashmir and Ladakh,drowning,14417.137706370571,255.731919047666,1248.0515855974909,3018.722658531312,148.37731359878785,14268.76039277178,0.9897082682692815,0.010291731730718201,0.010398752905960375
Jammu & Kashmir and Ladakh,falls,83643.96446093288,1309.37784828848,496724.42999238265,1043107.0559576307,48011.99558638552,35631.96887454747,0.4259956962129634,0.5740043037870379,1.347441556076384
Jammu & Kashmir and Ladakh,intentional_all,90246.41047739572,1111.4552595335372,139856.85711413884,998258.5255785248,28644.468207692484,61601.94226970321,0.6825971464552912,0.31740285354470854,0.4649929393830213
Jammu & Kashmir and Ladakh,other_transport,6902.216877293457,129.2013401343484,3100.5411633024787,13116.55940305301,786.4318339013054,6115.78504339215,0.8860609789749626,0.11393902102503713,0.1285904962848575
Jammu & Kashmir and Ladakh,other_unintentional,7173.745372734431,1.891587858447613,3578.391163279521,2656.5144212765,3285.7052955736526,972.5193322272684,0.1355664693541487,0.45801810976756674,3.3785501086633567
Jammu & Kashmir and Ladakh,poisoning,459.65036243943655,5.949935701038672,1076.394530922914,1516.224818517035,137.87018322371486,321.78017921572155,0.7000542271042357,0.299945772895764,0.4284607695842156
Jammu & Kashmir and Ladakh,road,125103.00374797068,2432.402017651997,73509.7492036443,169423.86698008075,10627.094113123048,114475.90963484751,0.9150532457675258,0.08494675423247328,0.0928325806453174
Jammu & Kashmir and Ladakh,self_harm,33795.84675499204,608.7189619183636,9519.532858659752,25098.60830951881,1372.864100651235,30647.46301133407,0.9068411048705884,0.040622272630244045,0.044795358759174335
Jammu & Kashmir and Ladakh,transport_all,132005.2206252641,2561.603357786349,76610.29036694679,182296.61237066303,11413.525947024344,120591.69467823971,0.9135373139565058,0.0864626860434938,0.09464603659047731
Jammu & Kashmir and Ladakh,unintentional_all,156741.57132106417,2475.557311907131,947542.6282963236,1617830.4106352692,66441.41552020848,90300.15580085576,0.5761085271748868,0.42389147282511364,0.7357840629504077
Jammu & Kashmir and Ladakh,violence,19316.47929540397,220.3380728043903,40192.83212419822,536509.8197802169,8181.691681533109,11134.78761387084,0.57643980787535,0.42356019212464896,0.7347865056124647
Jharkhand,all_injuries,1545430.9580965394,28136.5060734666,2933268.098510553,5916246.631578997,233109.01646582183,1312321.941630716,0.849162451907307,0.150837548092692,0.17763096773049164
Jharkhand,burns,68569.54270988533,1167.105149042235,31099.114187819323,271828.644808456,9371.521256224016,59198.02145366129,0.8633282229126928,0.13667177708730688,0.15830801479674123
Jharkhand,drowning,164081.65105933906,2742.553844698998,4890.51681101834,10928.942329375128,558.7925258067148,163522.85853353224,0.9965944240431568,0.003405575956842555,0.003417213537103915
Jharkhand,falls,281731.8867859512,5278.388908827498,1393027.3518238375,2727602.6860657707,128497.50785342562,153234.37893252535,0.5439014400558315,0.45609855994416765,0.838568399262464
Jharkhand,intentional_all,341398.7553243621,5982.82375268738,171568.42384214554,1531219.7702485838,29374.099160250964,312024.6561641111,0.9139595598925289,0.08604044010747113,0.09414031417056187
Jharkhand,other_transport,31673.166240670427,604.2910019700504,10259.019600310025,39065.35078156902,2406.322726959871,29266.843513710548,0.9240264548016673,0.07597354519833241,0.08222009749129894
Jharkhand,other_unintentional,2516.821993286062,616.9480960355409,12140.71857671726,856773.035933356,9488.217311844124,10576.210305791688,4.202208314296781,3.769919897853377,0.8971282753944706
Jharkhand,poisoning,9612.018877446317,161.1927236449513,2830.167605733968,3648.643433868416,340.49704227434125,9271.52183517197,0.9645759078695434,0.03542409213045607,0.03672504345323862
Jharkhand,road,409858.9920449179,18.38258673163194,125624.65252881889,70829.33907998612,18172.973645708546,391686.0183992093,0.9556604246864567,0.04433957531354321,0.04639678924455893
Jharkhand,self_harm,236783.8805905741,4090.444833366484,30570.70988295217,82847.19609698495,4748.038567325768,232035.84202324823,0.9799477964653526,0.020052203534647105,0.020462522194523942
Jharkhand,transport_all,441532.1582855882,8691.265855560474,135883.67212912888,325545.70415951463,20579.296372668403,420952.8619129198,0.9533911721117322,0.04660882788826782,0.04888741290212568
